season,section,home,away,home_score,away_score,venue,date
2021-22,Round 1,Zebre,Lions,26,38,Stadio Sergio Lanfranchi,2021-09-24
2021-22,Round 1,Ulster,Glasgow,35,29,Ravenhill Stadium,2021-09-24
2021-22,Round 1,Cardiff,Connacht,33,21,Cardiff Arms Park,2021-09-24
2021-22,Round 1,Benetton,Stormers,22,18,Stadio Comunale di Monigo,2021-09-25
2021-22,Round 1,Leinster,Bulls,31,3,Aviva Stadium,2021-09-25
2021-22,Round 1,Edinburgh,Scarlets,26,22,Edinburgh Rugby Stadium,2021-09-25
2021-22,Round 1,Munster,Sharks,42,17,Thomond Park,2021-09-25
2021-22,Round 1,Dragons,Ospreys,23,27,Rodney Parade,2021-09-26
2021-22,Round 2,Connacht,Bulls,34,7,Galway Sportsgrounds,2021-10-01
2021-22,Round 2,Scarlets,Lions,36,13,Parc y Scarlets,2021-10-01
2021-22,Round 2,Benetton,Edinburgh,28,27,Stadio Comunale di Monigo,2021-10-02
2021-22,Round 2,Glasgow,Sharks,35,24,Scotstoun Stadium,2021-10-02
2021-22,Round 2,Zebre,Ulster,3,36,Stadio Sergio Lanfranchi,2021-10-02
2021-22,Round 2,Ospreys,Cardiff,18,14,Liberty Stadium,2021-10-02
2021-22,Round 2,Munster,Stormers,34,18,Thomond Park,2021-10-02
2021-22,Round 2,Dragons,Leinster,6,7,Rodney Parade,2021-10-03
2021-22,Round 3,Ospreys,Sharks,13,27,Liberty Stadium,2021-10-08
2021-22,Round 3,Ulster,Benetton,28,8,Ravenhill Stadium,2021-10-08
2021-22,Round 3,Leinster,Zebre,43,7,RDS Arena,2021-10-09
2021-22,Round 3,Glasgow,Lions,13,9,Scotstoun Stadium,2021-10-09
2021-22,Round 3,Connacht,Dragons,22,35,Galway Sportsgrounds,2021-10-09
2021-22,Round 3,Edinburgh,Stormers,20,20,Edinburgh Rugby Stadium,2021-10-09
2021-22,Round 3,Cardiff,Bulls,19,29,Cardiff Arms Park,2021-10-09
2021-22,Round 3,Scarlets,Munster,13,43,Parc y Scarlets,2021-10-10
2021-22,Round 4,Dragons,Stormers,10,24,Rodney Parade,2021-10-15
2021-22,Round 4,Ulster,Lions,26,10,Ravenhill Stadium,2021-10-15
2021-22,Round 4,Zebre,Glasgow,6,17,Stadio Sergio Lanfranchi,2021-10-16
2021-22,Round 4,Benetton,Ospreys,26,29,Stadio Comunale di Monigo,2021-10-16
2021-22,Round 4,Leinster,Scarlets,50,15,RDS Arena,2021-10-16
2021-22,Round 4,Edinburgh,Bulls,17,10,Edinburgh Rugby Stadium,2021-10-16
2021-22,Round 4,Munster,Connacht,20,18,Thomond Park,2021-10-16
2021-22,Round 4,Cardiff,Sharks,23,17,Cardiff Arms Park,2021-10-16
2021-22,Round 5,Glasgow,Leinster,15,31,Scotstoun Stadium,2021-10-22
2021-22,Round 5,Scarlets,Benetton,34,28,Parc y Scarlets,2021-10-22
2021-22,Round 5,Ospreys,Munster,18,10,Liberty Stadium,2021-10-23
2021-22,Round 5,Cardiff,Dragons,31,29,Cardiff Arms Park,2021-10-23
2021-22,Round 5,Connacht,Ulster,36,11,Aviva Stadium,2021-10-23
2021-22,Round 5,Zebre,Edinburgh,10,27,Stadio Sergio Lanfranchi,2021-10-23
2021-22,Round 6,Connacht,Ospreys,46,18,Galway Sportsgrounds,2021-11-26
2021-22,Round 6,Benetton,Glasgow,19,18,Stadio Comunale di Monigo,2021-11-27
2021-22,Round 6,Dragons,Edinburgh,14,30,Rodney Parade,2021-11-27
2021-22,Round 6,Leinster,Ulster,10,20,RDS Arena,2021-11-27
2021-22,Round 5,Sharks,Bulls,30,16,Kings Park Stadium,2021-12-03
2021-22,Round 7,Edinburgh,Benetton,24,10,Edinburgh Rugby Stadium,2021-12-03
2021-22,Round 7,Leinster,Connacht,47,19,RDS Arena,2021-12-03
2021-22,Round 5,Stormers,Lions,19,37,Cape Town Stadium,2021-12-04
2021-22,Round 7,Glasgow,Dragons,33,14,Scotstoun Stadium,2021-12-04
2021-22,Round 7,Ospreys,Ulster,19,13,Liberty Stadium,2021-12-04
2021-22,Round 8,Zebre,Benetton,14,39,Stadio Sergio Lanfranchi,2021-12-24
2021-22,Round 9,Scarlets,Ospreys,22,19,Parc y Scarlets,2022-01-01
2021-22,Round 9,Connacht,Munster,10,8,Galway Sportsgrounds,2022-01-01
2021-22,Round 10,Glasgow,Ospreys,38,19,Scotstoun Stadium,2022-01-08
2021-22,Round 10,Edinburgh,Cardiff,34,10,Edinburgh Rugby Stadium,2022-01-08
2021-22,Round 10,Munster,Ulster,18,13,Thomond Park,2022-01-08
2021-22,Round 8,Lions,Sharks,37,47,Ellis Park Stadium,2022-01-22
2021-22,Round 8,Bulls,Stormers,26,30,Loftus Versfeld Stadium,2022-01-22
2021-22,Round 11,Dragons,Benetton,13,13,Rodney Parade,2022-01-28
2021-22,Round 11,Ulster,Scarlets,27,15,Ravenhill Stadium,2022-01-28
2021-22,Round 11,Ospreys,Edinburgh,23,19,Liberty Stadium,2022-01-29
2021-22,Round 11,Zebre,Munster,17,34,Stadio Sergio Lanfranchi,2022-01-29
2021-22,Round 11,Sharks,Stormers,22,22,Kings Park Stadium,2022-01-29
2021-22,Round 11,Cardiff,Leinster,29,27,Cardiff Arms Park,2022-01-29
2021-22,Round 11,Connacht,Glasgow,20,42,Galway Sportsgrounds,2022-01-29
2021-22,Round 11,Lions,Bulls,10,34,Ellis Park Stadium,2022-01-29
2021-22,Round 8,Ulster,Connacht,32,12,Ravenhill Stadium,2022-02-04
2021-22,Round 9,Bulls,Lions,21,13,Loftus Versfeld Stadium,2022-02-05
2021-22,Round 9,Stormers,Sharks,20,10,Cape Town Stadium,2022-02-05
2021-22,Round 8,Leinster,Edinburgh,26,7,RDS Arena,2022-02-11
2021-22,Round 8,Glasgow,Munster,13,11,Scotstoun Stadium,2022-02-11
2021-22,Round 12,Lions,Stormers,10,32,Ellis Park Stadium,2022-02-12
2021-22,Round 12,Bulls,Sharks,22,29,Loftus Versfeld Stadium,2022-02-12
2021-22,Round 12,Munster,Edinburgh,34,20,Thomond Park,2022-02-18
2021-22,Round 12,Scarlets,Connacht,23,29,Parc y Scarlets,2022-02-19
2021-22,Round 12,Leinster,Ospreys,29,7,RDS Arena,2022-02-19
2021-22,Round 12,Glasgow,Benetton,13,3,Scotstoun Stadium,2022-02-19
2021-22,Round 12,Dragons,Ulster,0,12,Rodney Parade,2022-02-20
2021-22,Round 10,Leinster,Lions,21,13,RDS Arena,2022-02-25
2021-22,Round 10,Zebre,Bulls,7,45,Stadio Sergio Lanfranchi,2022-02-25
2021-22,Round 10,Benetton,Sharks,7,29,Stadio Comunale di Monigo,2022-02-26
2021-22,Round 10,Connacht,Stormers,19,17,Galway Sportsgrounds,2022-02-26
2021-22,Round 13,Edinburgh,Connacht,56,8,Edinburgh Rugby Stadium,2022-03-04
2021-22,Round 13,Ulster,Cardiff,48,12,Ravenhill Stadium,2022-03-04
2021-22,Round 13,Munster,Dragons,64,3,Thomond Park,2022-03-05
2021-22,Round 13,Benetton,Leinster,17,61,Stadio Comunale di Monigo,2022-03-05
2021-22,Round 13,Scarlets,Glasgow,35,10,Parc y Scarlets,2022-03-05
2021-22,Round 13,Ospreys,Zebre,27,22,Liberty Stadium,2022-03-06
2021-22,Round 6,Sharks,Scarlets,37,20,Kings Park Stadium,2022-03-11
2021-22,Round 9,Ulster,Leinster,18,13,Ravenhill Stadium,2022-03-12
2021-22,Round 6,Bulls,Munster,29,24,Loftus Versfeld Stadium,2022-03-12
2021-22,Round 6,Lions,Cardiff,37,20,Ellis Park Stadium,2022-03-13
2021-22,Round 6,Stormers,Zebre,55,7,Danie Craven Stadium,2022-03-13
2021-22,Round 7,Bulls,Scarlets,57,12,Loftus Versfeld Stadium,2022-03-18
2021-22,Round 9,Glasgow,Edinburgh,30,17,Scotstoun Stadium,2022-03-18
2021-22,Round 7,Sharks,Zebre,38,6,Kings Park Stadium,2022-03-19
2021-22,Round 7,Stormers,Cardiff,40,3,Cape Town Stadium,2022-03-20
2021-22,Round 14,Munster,Benetton,51,22,Musgrave Park,2022-03-25
2021-22,Round 14,Lions,Ospreys,45,15,Ellis Park Stadium,2022-03-25
2021-22,Round 14,Stormers,Ulster,23,20,Cape Town Stadium,2022-03-26
2021-22,Round 14,Zebre,Scarlets,24,41,Stadio Sergio Lanfranchi,2022-03-26
2021-22,Round 14,Sharks,Edinburgh,5,21,Kings Park Stadium,2022-03-26
2021-22,Round 14,Bulls,Dragons,55,20,Loftus Versfeld Stadium,2022-03-26
2021-22,Round 14,Connacht,Leinster,8,45,Galway Sportsgrounds,2022-03-26
2021-22,Round 14,Cardiff,Glasgow,32,28,Cardiff Arms Park,2022-03-26
2021-22,Round 15,Sharks,Dragons,51,3,Kings Park Stadium,2022-04-01
2021-22,Round 15,Glasgow,Zebre,40,12,Scotstoun Stadium,2022-04-01
2021-22,Round 15,Benetton,Connacht,17,21,Stadio Comunale di Monigo,2022-04-02
2021-22,Round 15,Lions,Edinburgh,15,9,Ellis Park Stadium,2022-04-02
2021-22,Round 15,Stormers,Ospreys,29,13,Cape Town Stadium,2022-04-02
2021-22,Round 15,Munster,Leinster,19,34,Thomond Park,2022-04-02
2021-22,Round 15,Scarlets,Cardiff,35,20,Parc y Scarlets,2022-04-02
2021-22,Round 15,Bulls,Ulster,34,16,Loftus Versfeld Stadium,2022-04-02
2021-22,Round 13,Sharks,Lions,37,10,Kings Park Stadium,2022-04-09
2021-22,Round 13,Stormers,Bulls,19,17,Cape Town Stadium,2022-04-09
2021-22,Round 8,Cardiff,Scarlets,14,49,Cardiff Arms Park,2022-04-09
2021-22,Round 10,Scarlets,Dragons,27,38,Parc y Scarlets,2022-04-16
2021-22,Round 16,Stormers,Glasgow,32,7,Cape Town Stadium,2022-04-22
2021-22,Round 16,Edinburgh,Zebre,29,26,Edinburgh Rugby Stadium,2022-04-22
2021-22,Round 16,Ulster,Munster,17,24,Ravenhill Stadium,2022-04-22
2021-22,Round 16,Bulls,Benetton,46,29,Loftus Versfeld Stadium,2022-04-23
2021-22,Round 16,Dragons,Scarlets,19,38,Rodney Parade,2022-04-23
2021-22,Round 16,Lions,Connacht,30,33,Ellis Park Stadium,2022-04-23
2021-22,Round 16,Sharks,Leinster,28,23,Kings Park Stadium,2022-04-23
2021-22,Round 16,Cardiff,Ospreys,6,22,Cardiff Arms Park,2022-04-23
2021-22,Round 17,Munster,Cardiff,42,21,Musgrave Park,2022-04-29
2021-22,Round 17,Bulls,Glasgow,29,17,Loftus Versfeld Stadium,2022-04-29
2021-22,Round 17,Sharks,Connacht,41,21,Kings Park Stadium,2022-04-30
2021-22,Round 17,Stormers,Leinster,20,13,Cape Town Stadium,2022-04-30
2021-22,Round 17,Ospreys,Scarlets,54,36,Liberty Stadium,2022-04-30
2021-22,Round 17,Edinburgh,Ulster,10,16,Edinburgh Rugby Stadium,2022-04-30
2021-22,Round 17,Zebre,Dragons,23,18,Stadio Sergio Lanfranchi,2022-04-30
2021-22,Round 17,Lions,Benetton,37,29,Ellis Park Stadium,2022-04-30
2021-22,Round 12,Cardiff,Zebre,42,14,Cardiff Arms Park,2022-05-06
2021-22,Round 8,Ospreys,Dragons,50,31,Liberty Stadium,2022-05-08
2021-22,Round 9,Dragons,Cardiff,18,19,Rodney Parade,2022-05-13
2021-22,Round 9,Benetton,Zebre,39,17,Stadio Comunale di Monigo,2022-05-14
2021-22,Round 18,Benetton,Cardiff,69,21,Stadio Comunale di Monigo,2022-05-20
2021-22,Round 18,Ulster,Sharks,24,21,Ravenhill Stadium,2022-05-20
2021-22,Round 18,Ospreys,Bulls,31,38,Liberty Stadium,2022-05-20
2021-22,Round 18,Dragons,Lions,11,21,Rodney Parade,2022-05-21
2021-22,Round 18,Connacht,Zebre,22,20,Galway Sportsgrounds,2022-05-21
2021-22,Round 18,Scarlets,Stormers,21,26,Parc y Scarlets,2022-05-21
2021-22,Round 18,Edinburgh,Glasgow,28,11,Murrayfield Stadium,2022-05-21
2021-22,Round 18,Leinster,Munster,35,25,Aviva Stadium,2022-05-21
2021-22,Quarter-finals,Ulster,Munster,36,17,Ravenhill Stadium,2022-06-03
2021-22,Quarter-finals,Stormers,Edinburgh,28,17,Cape Town Stadium,2022-06-04
2021-22,Quarter-finals,Bulls,Sharks,30,27,Loftus Versfeld,2022-06-04
2021-22,Quarter-finals,Leinster,Glasgow,76,14,RDS Arena,2022-06-04
2021-22,Semi-finals,Leinster,Bulls,26,27,RDS Arena,2022-06-10
2021-22,Semi-finals,Stormers,Ulster,17,15,Cape Town Stadium,2022-06-11
2021-22,Championship final,Stormers,Bulls,18,13,Cape Town Stadium,2022-06-18
2022-23,Round 1,Benetton,Glasgow,33,11,Stadio Comunale di Monigo,2022-09-16
2022-23,Round 1,Zebre,Leinster,29,33,Stadio Sergio Lanfranchi,2022-09-17
2022-23,Round 1,Cardiff,Munster,20,13,Cardiff Arms Park,2022-09-17
2022-23,Round 1,Lions,Bulls,15,31,Ellis Park Stadium,2022-09-17
2022-23,Round 1,Scarlets,Ospreys,23,23,Parc y Scarlets,2022-09-17
2022-23,Round 1,Ulster,Connacht,36,10,Kingspan Stadium,2022-09-17
2022-23,Round 1,Edinburgh,Dragons,44,6,The DAM Health Stadium,2022-09-17
2022-23,Round 2,Leinster,Benetton,42,10,RDS Arena,2022-09-23
2022-23,Round 2,Zebre,Sharks,37,42,Stadio Sergio Lanfranchi,2022-09-23
2022-23,Round 2,Glasgow,Cardiff,52,24,Scotstoun Stadium,2022-09-23
2022-23,Round 2,Scarlets,Ulster,39,55,Parc y Scarlets,2022-09-24
2022-23,Round 2,Bulls,Edinburgh,33,31,Loftus Versfeld Stadium,2022-09-24
2022-23,Round 2,Stormers,Connacht,38,15,Danie Craven Stadium,2022-09-24
2022-23,Round 2,Ospreys,Lions,27,28,Swansea.com Stadium,2022-09-24
2022-23,Round 2,Dragons,Munster,23,17,Rodney Parade,2022-09-25
2022-23,Round 3,Bulls,Connacht,28,14,Loftus Versfeld Stadium,2022-09-30
2022-23,Round 3,Ulster,Leinster,13,20,Kingspan Stadium,2022-09-30
2022-23,Round 3,Cardiff,Lions,18,31,Cardiff Arms Park,2022-09-30
2022-23,Round 3,Munster,Zebre,21,5,Musgrave Park,2022-10-01
2022-23,Round 3,Dragons,Sharks,19,20,Rodney Parade,2022-10-01
2022-23,Round 3,Benetton,Scarlets,34,23,Stadio Comunale di Monigo,2022-10-01
2022-23,Round 3,Ospreys,Glasgow,32,17,Swansea.com Stadium,2022-10-01
2022-23,Round 3,Stormers,Edinburgh,34,18,Cape Town Stadium,2022-10-01
2022-23,Round 4,Edinburgh,Lions,19,22,The DAM Health Stadium,2022-10-07
2022-23,Round 4,Connacht,Munster,20,11,The Sportsground,2022-10-07
2022-23,Round 4,Zebre,Stormers,20,37,Stadio Sergio Lanfranchi,2022-10-08
2022-23,Round 4,Leinster,Sharks,54,34,RDS Arena,2022-10-08
2022-23,Round 4,Scarlets,Cardiff,10,16,Parc y Scarlets,2022-10-08
2022-23,Round 4,Ulster,Ospreys,47,17,Kingspan Stadium,2022-10-08
2022-23,Round 4,Glasgow,Bulls,35,21,Scotstoun Stadium,2022-10-08
2022-23,Round 4,Benetton,Dragons,34,14,Stadio Comunale di Monigo,2022-10-09
2022-23,Round 5,Ospreys,Stormers,16,16,Swansea.com Stadium,2022-10-14
2022-23,Round 5,Connacht,Leinster,0,10,Galway Sportsgrounds,2022-10-14
2022-23,Round 5,Scarlets,Zebre,36,12,Parc y Scarlets,2022-10-15
2022-23,Round 5,Edinburgh,Benetton,53,8,DAM Health Stadium,2022-10-15
2022-23,Round 5,Munster,Bulls,31,17,Thomond Park,2022-10-15
2022-23,Round 5,Sharks,Glasgow,40,12,Kings Park Stadium,2022-10-15
2022-23,Round 5,Lions,Ulster,37,39,Ellis Park Stadium,2022-10-15
2022-23,Round 5,Cardiff,Dragons,31,14,Cardiff Arms Park,2022-10-15
2022-23,Round 6,Benetton,Bulls,22,44,Stadio Comunale di Monigo,2022-10-21
2022-23,Round 6,Connacht,Scarlets,36,14,Galway Sportsgrounds,2022-10-21
2022-23,Round 6,Zebre,Edinburgh,19,38,Stadio Sergio Lanfranchi,2022-10-22
2022-23,Round 6,Leinster,Munster,27,13,Aviva Stadium,2022-10-22
2022-23,Round 6,Cardiff,Stormers,30,24,Cardiff Arms Park,2022-10-22
2022-23,Round 6,Dragons,Ospreys,32,25,Rodney Parade,2022-10-23
2022-23,Round 7,Glasgow,Benetton,37,0,Scotstoun Stadium,2022-10-28
2022-23,Round 7,Scarlets,Leinster,5,35,Parc y Scarlets,2022-10-28
2022-23,Round 7,Lions,Stormers,22,31,Ellis Park Stadium,2022-10-29
2022-23,Round 7,Dragons,Zebre,47,7,Rodney Parade,2022-10-29
2022-23,Round 7,Munster,Ulster,14,15,Thomond Park,2022-10-29
2022-23,Round 7,Ospreys,Connacht,19,22,Swansea.com Stadium,2022-10-29
2022-23,Round 7,Bulls,Sharks,40,27,Loftus Versfeld,2022-10-30
2022-23,Round 7,Cardiff,Edinburgh,17,25,Cardiff Arms Park,2022-10-30
2022-23,Round 8,Ulster,Zebre,36,15,Kingspan Stadium,2022-11-25
2022-23,Round 8,Stormers,Scarlets,36,19,Cape Town Stadium,2022-11-25
2022-23,Round 8,Bulls,Ospreys,43,26,Loftus Versfeld Stadium,2022-11-26
2022-23,Round 8,Leinster,Glasgow,40,5,RDS Arena,2022-11-26
2022-23,Round 8,Munster,Connacht,24,17,Thomond Park,2022-11-26
2022-23,Round 8,Benetton,Edinburgh,24,17,Stadio Comunale di Monigo,2022-11-26
2022-23,Round 8,Sharks,Cardiff,0,35,Kings Park Stadium,2022-11-27
2022-23,Round 8,Lions,Dragons,33,25,Ellis Park Stadium,2022-11-27
2022-23,Round 9,Sharks,Ospreys,25,10,Kings Park Stadium,2022-12-02
2022-23,Round 9,Edinburgh,Munster,17,38,DAM Health Stadium,2022-12-02
2022-23,Round 9,Stormers,Dragons,34,26,Nelson Mandela Bay Stadium,2022-12-03
2022-23,Round 9,Zebre,Glasgow,17,45,Stadio Sergio Lanfranchi,2022-12-03
2022-23,Round 9,Connacht,Benetton,38,19,Galway Sportsgrounds,2022-12-03
2022-23,Round 9,Bulls,Cardiff,45,9,Loftus Versfeld Stadium,2022-12-03
2022-23,Round 9,Leinster,Ulster,38,29,RDS Arena,2022-12-03
2022-23,Round 9,Lions,Scarlets,32,15,Ellis Park Stadium,2022-12-04
2022-23,Round 10,Sharks,Lions,37,10,Kings Park Stadium,2022-12-23
2022-23,Round 10,Stormers,Bulls,37,27,Cape Town Stadium,2022-12-23
2022-23,Round 10,Connacht,Ulster,20,22,Galway Sportsgrounds,2022-12-23
2022-23,Round 10,Glasgow,Edinburgh,16,10,Scotstoun Stadium,2022-12-23
2022-23,Round 10,Benetton,Zebre,38,5,Stadio Comunale di Monigo,2022-12-24
2022-23,Round 10,Dragons,Cardiff,24,29,Rodney Parade,2022-12-26
2022-23,Round 10,Ospreys,Scarlets,34,14,Swansea.com Stadium,2022-12-26
2022-23,Round 10,Munster,Leinster,19,20,Thomond Park,2022-12-26
2022-23,Round 11,Edinburgh,Glasgow,25,32,Murrayfield Stadium,2022-12-30
2022-23,Round 11,Zebre,Benetton,17,40,Stadio Sergio Lanfranchi,2022-12-31
2022-23,Round 11,Sharks,Bulls,47,20,Kings Park Stadium,2022-12-31
2022-23,Round 11,Stormers,Lions,40,8,Cape Town Stadium,2022-12-31
2022-23,Round 11,Scarlets,Dragons,33,17,Parc y Scarlets,2023-01-01
2022-23,Round 11,Leinster,Connacht,41,12,RDS Arena,2023-01-01
2022-23,Round 11,Cardiff,Ospreys,19,22,Cardiff Arms Park,2023-01-01
2022-23,Round 11,Ulster,Munster,14,15,Ravenhill Stadium,2023-01-01
2022-23,Round 12,Dragons,Bulls,14,29,Rodney Parade,2023-01-06
2022-23,Round 12,Munster,Lions,33,3,Musgrave Park,2023-01-06
2022-23,Round 12,Benetton,Ulster,31,29,Stadio Comunale di Monigo,2023-01-07
2022-23,Round 12,Edinburgh,Zebre,24,17,DAM Health Stadium,2023-01-07
2022-23,Round 12,Cardiff,Scarlets,22,28,Cardiff Arms Park,2023-01-07
2022-23,Round 12,Connacht,Sharks,24,12,Galway Sportsgrounds,2023-01-07
2022-23,Round 12,Ospreys,Leinster,19,24,Swansea.com Stadium,2023-01-07
2022-23,Round 12,Glasgow,Stormers,24,17,Scotstoun Stadium,2023-01-08
2022-23,Round 13,Ulster,Stormers,35,5,Kingspan Stadium,2023-01-27
2022-23,Round 13,Scarlets,Bulls,37,28,Parc y Scarlets,2023-01-27
2022-23,Round 13,Dragons,Glasgow,28,42,Rodney Parade,2023-01-28
2022-23,Round 13,Leinster,Cardiff,38,14,RDS Arena,2023-01-28
2022-23,Round 13,Edinburgh,Sharks,19,22,DAM Health Stadium,2023-01-28
2022-23,Round 13,Connacht,Lions,43,24,Galway Sportsgrounds,2023-01-28
2022-23,Round 13,Benetton,Munster,30,40,Stadio Comunale di Monigo,2023-01-28
2022-23,Round 13,Zebre,Ospreys,24,28,Stadio Sergio Lanfranchi,2023-01-29
2022-23,Round 1 (rescheduled match),Sharks,Stormers,19,46,Kings Park Stadium,2023-02-04
2022-23,Round 14,Munster,Ospreys,58,3,Thomond Park,2023-02-17
2022-23,Round 14,Glasgow,Ulster,17,11,Scotstoun Stadium,2023-02-17
2022-23,Round 14,Cardiff,Benetton,30,13,Cardiff Arms Park,2023-02-18
2022-23,Round 14,Leinster,Dragons,43,14,RDS Arena,2023-02-18
2022-23,Round 14,Scarlets,Edinburgh,42,14,Parc y Scarlets,2023-02-18
2022-23,Round 14,Bulls,Stormers,19,23,Loftus Versfeld Stadium,2023-02-18
2022-23,Round 14,Lions,Sharks,7,29,Ellis Park,2023-02-18
2022-23,Round 14,Zebre,Connacht,34,57,Stadio Sergio Lanfranchi,2023-02-18
2022-23,Round 6 (rescheduled matches),Sharks,Ulster,24,31,Kings Park Stadium,2023-02-25
2022-23,Round 6 (rescheduled matches),Lions,Glasgow,35,24,Ellis Park Stadium,2023-02-25
2022-23,Round 15,Glasgow,Zebre,50,8,Scotstoun Stadium,2023-03-03
2022-23,Round 15,Munster,Scarlets,49,42,Musgrave Park,2023-03-03
2022-23,Round 15,Dragons,Connacht,20,22,Rodney Parade,2023-03-04
2022-23,Round 15,Ospreys,Benetton,20,21,Swansea.com Stadium,2023-03-04
2022-23,Round 15,Cardiff,Ulster,20,42,Cardiff Arms Park,2023-03-04
2022-23,Round 15,Bulls,Lions,25,29,Loftus Versfeld Stadium,2023-03-04
2022-23,Round 15,Stormers,Sharks,29,23,Cape Town Stadium,2023-03-04
2022-23,Round 15,Edinburgh,Leinster,27,47,DAM Health Stadium,2023-03-04
2022-23,Round 16,Zebre,Cardiff,30,34,Stadio Sergio Lanfranchi,2023-03-24
2022-23,Round 16,Leinster,Stormers,22,22,RDS Arena,2023-03-24
2022-23,Round 16,Benetton,Lions,28,32,Stadio Comunale di Monigo,2023-03-25
2022-23,Round 16,Ospreys,Dragons,37,18,Swansea.com Stadium,2023-03-25
2022-23,Round 16,Connacht,Edinburgh,41,26,Galway Sportsgrounds,2023-03-25
2022-23,Round 16,Scarlets,Sharks,32,20,Parc y Scarlets,2023-03-25
2022-23,Round 16,Munster,Glasgow,26,38,Thomond Park,2023-03-25
2022-23,Round 16,Ulster,Bulls,32,23,Ravenhill Stadium,2023-03-25
2022-23,Round 17,Sharks,Benetton,43,33,Kings Park Stadium,2023-04-14
2022-23,Round 17,Glasgow,Scarlets,12,9,Scotstoun Stadium,2023-04-14
2022-23,Round 17,Ulster,Dragons,40,19,Ravenhill Stadium,2023-04-14
2022-23,Round 17,Connacht,Cardiff,38,19,Galway Sportsgrounds,2023-04-15
2022-23,Round 17,Edinburgh,Ospreys,45,21,DAM Health Stadium,2023-04-15
2022-23,Round 17,Bulls,Zebre,78,12,Loftus Versfeld Stadium,2023-04-15
2022-23,Round 17,Lions,Leinster,36,39,Ellis Park Stadium,2023-04-15
2022-23,Round 17,Stormers,Munster,24,26,Cape Town Stadium,2023-04-15
2022-23,Round 18,Stormers,Benetton,38,22,Danie Craven Stadium,2023-04-21
2022-23,Round 18,Ulster,Edinburgh,28,14,Ravenhill Stadium,2023-04-21
2022-23,Round 18,Lions,Zebre,50,35,Ellis Park Stadium,2023-04-22
2022-23,Round 18,Dragons,Scarlets,31,14,Principality Stadium,2023-04-22
2022-23,Round 18,Bulls,Leinster,62,7,Loftus Versfeld Stadium,2023-04-22
2022-23,Round 18,Sharks,Munster,22,22,Kings Park Stadium,2023-04-22
2022-23,Round 18,Ospreys,Cardiff,21,38,Principality Stadium,2023-04-22
2022-23,Round 18,Glasgow,Connacht,29,27,Scotstoun Stadium,2023-04-22
2022-23,Quarter-finals,Ulster,Connacht,10,15,Ravenhill Stadium,2023-05-05
2022-23,Quarter-finals,Stormers,Bulls,33,21,Cape Town Stadium,2023-05-06
2022-23,Quarter-finals,Leinster,Sharks,35,5,Aviva Stadium,2023-05-06
2022-23,Quarter-finals,Glasgow,Munster,5,14,Scotstoun Stadium,2023-05-06
2022-23,Semi-finals,Stormers,Connacht,43,25,Cape Town Stadium,2023-05-13
2022-23,Semi-finals,Leinster,Munster,15,16,Aviva Stadium,2023-05-13
2022-23,Final,Stormers,Munster,14,19,Cape Town Stadium,2023-05-27
2023-24,Round 1,Cardiff,Benetton,22,23,"Cardiff Arms Park, Cardiff",2023-10-21
2023-24,Round 1,Dragons,Edinburgh,17,22,"Rodney Parade, Newport",2023-10-21
2023-24,Round 1,Munster,Sharks,34,21,"Thomond Park, Limerick",2023-10-21
2023-24,Round 1,Connacht,Ospreys,34,26,"The Sportsground, Galway",2023-10-21
2023-24,Round 1,Zebre,Ulster,36,40,"Stadio Sergio Lanfranchi, Parma",2023-10-21
2023-24,Round 1,Lions,Stormers,33,35,"Ellis Park Stadium, Johannesburg",2023-10-21
2023-24,Round 1,Glasgow,Leinster,43,25,"Scotstoun Stadium, Glasgow",2023-10-22
2023-24,Round 1,Bulls,Scarlets,63,21,"Loftus Versfeld Stadium, Pretoria",2023-10-22
2023-24,Round 2,Ospreys,Zebre,34,31,"Swansea.com Stadium, Swansea",2023-10-28
2023-24,Round 2,Connacht,Glasgow,34,26,"The Sportsground, Galway",2023-10-28
2023-24,Round 2,Stormers,Scarlets,52,7,"Danie Craven Stadium, Stellenbosch",2023-10-28
2023-24,Round 2,Leinster,Sharks,34,13,"RDS Arena, Dublin",2023-10-28
2023-24,Round 2,Edinburgh,Lions,17,16,"Edinburgh Rugby Stadium, Edinburgh",2023-10-28
2023-24,Round 2,Dragons,Cardiff,9,16,"Rodney Parade, Newport",2023-10-29
2023-24,Round 2,Ulster,Bulls,26,19,"Ravenhill Stadium, Belfast",2023-10-29
2023-24,Round 2,Benetton,Munster,13,13,"Stadio Comunale di Monigo, Treviso",2023-10-29
2023-24,Round 3,Glasgow,Stormers,20,9,"Scotstoun Stadium, Glasgow",2023-11-03
2023-24,Round 3,Ospreys,Sharks,19,5,Twickenham Stoop,2023-11-03
2023-24,Round 3,Zebre,Bulls,29,54,"Stadio Sergio Lanfranchi, Parma",2023-11-04
2023-24,Round 3,Leinster,Edinburgh,36,27,"RDS Arena, Dublin",2023-11-04
2023-24,Round 3,Scarlets,Cardiff,31,25,"Parc y Scarlets, Llanelli",2023-11-04
2023-24,Round 3,Munster,Dragons,45,14,"Musgrave Park, Cork",2023-11-04
2023-24,Round 3,Connacht,Ulster,22,20,"The Sportsground, Galway",2023-11-04
2023-24,Round 3,Benetton,Lions,15,10,"Stadio Comunale di Monigo, Treviso",2023-11-05
