date,home,away,elo_home,elo_away,pred_margin,p_home_win,actual_margin,season
2022-02-26,Connacht,Stormers,-0.462914469412,3.89165288,1.6454326505879995,0.5464500552770282,2,2021-22
2022-02-26,Benetton,Sharks,-0.3189561114520002,2.26318952,3.4178543685479994,0.5957652775827477,-22,2021-22
2022-03-04,Edinburgh,Connacht,2.562206047618,-0.42745773447079993,8.9896637820888,0.7381214946427179,48,2021-22
2022-03-04,Ulster,Cardiff,5.886234051952,-2.1974413160000004,14.083675367952,0.8410644361608843,36,2021-22
2022-03-05,Munster,Dragons,6.027646990641999,-5.069748806672001,17.097395797314,0.8873550217805253,61,2021-22
2022-03-05,Benetton,Leinster,-2.8607415483068004,7.506362373522599,-4.367103921829399,0.3783855459106369,-44,2021-22
2022-03-05,Scarlets,Glasgow,-4.203239206468,4.2554684049319995,-2.4587076113999995,0.4307848197694931,25,2021-22
2022-03-06,Ospreys,Zebre,-2.3332135516540005,-15.022404443660001,18.689190892006,0.9074930943716415,5,2021-22
2022-03-11,Sharks,Scarlets,4.8049749568548,-1.4573684453279996,12.262343402182799,0.8077595445482565,17,2021-22
2022-03-12,Ulster,Leinster,7.4778665151568,10.069651981339659,3.408214533817141,0.5955004048197912,5,2021-22
2022-03-12,Bulls,Munster,1.2053300662600008,7.3179074109106,-0.11257734465059865,0.4968147953595387,5,2021-22
2022-03-13,Lions,Cardiff,-3.9901724296086005,-3.7890737792048004,5.7989013495962,0.6595625706538334,17,2021-22
2022-03-13,Stormers,Zebre,3.8561961450588003,-13.6534853544594,23.5096814995182,0.9522779127579684,48,2021-22
2022-03-18,Glasgow,Edinburgh,1.5095976437919991,4.663239669409121,2.8463579743828777,0.5799905719059464,13,2021-22
2022-03-18,Bulls,Scarlets,1.7165878007250606,-1.9311341051097197,9.64772190583478,0.7530867959822587,45,2021-22
2022-03-19,Sharks,Zebre,5.2787406166365205,-14.30251720450758,25.5812578211441,0.9651821933865391,32,2021-22
2022-03-20,Stormers,Cardiff,4.5052279951069805,-4.90918364424518,15.414411639352162,0.8628515411252576,37,2021-22
2022-03-25,Munster,Benetton,6.80664967644554,-5.424031156123861,18.2306808325694,0.9019868763906883,29,2021-22
2022-03-25,Lions,Ospreys,-2.8700625645682205,-3.7021326408546003,6.83207007628638,0.6860000690353617,30,2021-22
2022-03-26,Stormers,Ulster,5.963786831171764,7.637045061775085,4.326741769396678,0.6205254574224436,3,2021-22
2022-03-26,Zebre,Scarlets,-14.744391422393171,-3.966361914526242,-4.778029507866929,0.367354834215878,-17,2021-22
2022-03-26,Sharks,Edinburgh,5.72061483452211,3.6478754668474087,8.0727393676747,0.7165201101252697,-16,2021-22
2022-03-26,Bulls,Dragons,3.7518156101415827,-6.360009226940601,16.11182483708218,0.8734148042636702,35,2021-22
2022-03-26,Connacht,Leinster,-2.5284913562619202,9.910473434721373,-6.438964790983293,0.3239562241888685,-37,2021-22
2022-03-26,Cardiff,Glasgow,-6.367742480309964,2.5249618463537113,-2.8927043266636754,0.41872499161071935,4,2021-22
2022-04-01,Glasgow,Zebre,1.8356914136873437,-15.966588471606478,23.80227988529382,0.954304458402198,28,2021-22
2022-04-01,Sharks,Dragons,3.31334089775464,-7.748826743232383,17.062167640987024,0.8868764409713947,48,2021-22
2022-04-02,Benetton,Connacht,-6.500963072866921,-4.884594877163591,4.38363180429667,0.6220601088704507,-4,2021-22
2022-04-02,Lions,Edinburgh,-0.5532695721968581,6.0551494036148785,-0.6084189758117367,0.4827908686901798,6,2021-22
2022-04-02,Stormers,Ospreys,5.831112654232096,-6.018925633225963,17.85003828745806,0.8972363273548706,16,2021-22
2022-04-02,Munster,Leinster,7.8835815931886,12.266576955623044,1.6170046375655556,0.5456510841479796,-15,2021-22
2022-04-02,Scarlets,Cardiff,-2.7441648653129347,-5.678472047643597,8.934307182330663,0.7368417157194509,15,2021-22
2022-04-02,Bulls,Ulster,5.1406331264333645,7.769719238714753,3.3709138877186113,0.5944750873871718,18,2021-22
2022-04-09,Sharks,Lions,4.607124133655938,0.1075723253843156,10.49955180827162,0.7717580506344817,27,2021-22
2022-04-09,Stormers,Bulls,5.64610882548629,6.603541737661503,5.0425670878247875,0.6396894654406928,2,2021-22
2022-04-09,Cardiff,Scarlets,-6.2850413294105305,-2.137595583546001,1.8525542541354705,0.5522653453863522,-35,2021-22
2022-04-16,Scarlets,Dragons,1.0476598418675462,-9.042609979133681,16.09026982100123,0.8730970552242283,-11,2021-22
2022-04-22,Ulster,Munster,6.306810627486614,6.221881129432044,6.08492949805457,0.6669676678436154,-7,2021-22
2022-04-22,Stormers,Glasgow,5.341852116703811,2.2554634251579615,9.086388691545851,0.740349973736587,25,2021-22
2022-04-22,Edinburgh,Zebre,5.394307506033705,-16.386360483077095,27.7806679891108,0.9755957179695511,3,2021-22
2022-04-23,Bulls,Benetton,6.907798446443982,-7.339326253296588,20.24712469974057,0.9244940332367879,17,2021-22
2022-04-23,Dragons,Scarlets,-6.333582997033558,-1.661367140232577,1.3277841431990192,0.5375125801523486,-19,2021-22
2022-04-23,Lions,Connacht,-1.5424724937885226,-4.0462316967339245,8.503759202945401,0.7267800774186627,-3,2021-22
2022-04-23,Sharks,Leinster,6.257168952828776,13.9282774193796,-1.671108466550825,0.45282848572642675,5,2021-22
2022-04-23,Cardiff,Ospreys,-9.470296754824078,-5.833921804480156,2.3636250496560782,0.5665639888651892,-16,2021-22
2022-04-29,Munster,Cardiff,7.530374079237502,-11.306659259789686,24.837033339027187,0.9609223939172975,21,2021-22
2022-04-29,Bulls,Glasgow,6.583085976469925,0.6641022943125465,11.918983682157378,0.8010333407982483,12,2021-22
2022-04-30,Stormers,Leinster,6.933213247549226,13.261166572724518,-0.32795332517529197,0.49072179774667535,7,2021-22
2022-04-30,Lions,Benetton,-2.6928484140830626,-7.014613783322531,10.321765369239468,0.7679279528058199,8,2021-22
2022-04-30,Zebre,Dragons,-13.908293684166015,-8.36636141135346,0.45806772718744426,0.5129581875197614,5,2021-22
2022-04-30,Sharks,Connacht,6.924279799483859,-2.895855776439384,15.820135575923242,0.8690678086954897,20,2021-22
2022-04-30,Ospreys,Scarlets,-3.997559299514548,0.371411274087325,1.6310294263981269,0.5460452750274304,18,2021-22
2022-04-30,Edinburgh,Ulster,2.916240707122625,4.9983176776811575,3.917923029441468,0.6094427260897398,-6,2021-22
2022-05-06,Cardiff,Zebre,-10.922955925886967,-13.45410045688476,8.531144530997793,0.7274256877919703,28,2021-22
2022-05-08,Ospreys,Dragons,-2.3606622421543606,-8.820554638634714,12.459892396480354,0.8115655943344413,19,2021-22
2022-05-13,Dragons,Cardiff,-9.474565398986678,-8.976070378986746,5.5015049800000675,0.6517974093987304,-1,2021-22
2022-05-14,Benetton,Zebre,-6.782437246398584,-15.40098600378498,14.618548757386396,0.8500799867763307,22,2021-22
2022-05-20,Ulster,Sharks,5.990109980625304,7.342266241891535,4.647843738733769,0.6291618518130488,3,2021-22
2022-05-20,Ospreys,Bulls,-1.7066514818023961,6.591187608254187,-2.2978390900565833,0.4352720861577388,-7,2021-22
2022-05-20,Benetton,Cardiff,-6.0442921221372234,-8.325919880986739,8.281627758849515,0.7215154940867188,48,2021-22
2022-05-21,Leinster,Munster,12.528371240206988,7.1466707453347835,11.381700494872202,0.7902280540701394,10,2021-22
2022-05-21,Edinburgh,Glasgow,1.9244484041784782,0.6560006625282844,7.268447741650194,0.6968956319074594,17,2021-22
2022-05-21,Dragons,Lions,-10.124715896986686,-2.9250249510070097,-1.1996909459796763,0.4660971206223818,-10,2021-22
2022-05-21,Connacht,Zebre,-3.3138422188470598,-16.13913112804634,18.82528890919928,0.909082587247023,2,2021-22
2022-05-21,Scarlets,Stormers,-1.2654857832728625,7.666008580066755,-2.9314943633396178,0.4176506348846409,-5,2021-22
2022-06-03,Ulster,Munster,5.825325606751927,7.284840794822004,4.540484811929924,0.6262813040038052,19,2021-22
2022-06-04,Stormers,Edinburgh,7.872859143732794,2.897603630013459,10.975255513719334,0.7818295250616217,11,2021-22
2022-06-04,Bulls,Sharks,7.061403699248529,7.5070506157649115,5.554353083483618,0.6531820709346385,3,2021-22
2022-06-04,Leinster,Glasgow,12.390201190719768,-0.31715456330669634,18.707355754026466,0.907706423398309,62,2021-22
2022-06-10,Leinster,Bulls,13.519465615317122,6.805968390900167,12.713497224416956,0.8163829651240682,-1,2021-22
2022-06-11,Stormers,Ulster,7.87533359236086,7.271277125558935,6.604056466801925,0.6802409917579006,2,2021-22
2022-06-18,Stormers,Bulls,7.414927945680668,8.177318113341864,5.237609832338803,0.6448531576210867,5,2021-22
2022-09-16,Benetton,Glasgow,-2.7107184286155226,-1.0124932915328348,4.301774862917313,0.6198513547366753,22,2022-23
2022-09-17,Edinburgh,Dragons,2.0265904269697743,-7.703322761672102,15.729913188641877,0.8677025930690707,38,2022-23
2022-09-17,Ulster,Connacht,5.412177940567389,-3.497459776836892,14.90963771740428,0.8548402803723781,26,2022-23
2022-09-17,Scarlets,Ospreys,-1.0306354428572304,-1.5238073009577162,6.493171858100486,0.6774244152133024,0,2022-23
2022-09-17,Cardiff,Munster,-7.348429973571251,4.087222493210497,-5.435652466781748,0.3499308116823113,7,2022-23
2022-09-17,Lions,Bulls,-1.4314958319234838,5.74075536760302,-1.172251199526504,0.4668707531487291,-16,2022-23
2022-09-17,Zebre,Leinster,-10.119621565988488,8.503681125012797,-12.623302691001285,0.18532146823295292,-4,2022-23
