match_id,season,section,home,away,home_score,away_score,venue,date,home_form,home_attack,home_defence,home_rest_days,home_changed_continent,away_form,away_attack,away_defence,away_rest_days,away_changed_continent,elo_home,elo_away,elo_diff,form_diff,rest_diff,cross_continent,altitude,playoff,margin,home_win
35,2021-22,Round 5,Cardiff,Dragons,31,29,Cardiff Arms Park,2021-10-23,1.0,22.25,21.25,7.0,0,-1.5,18.5,20.0,8.0,0,-1.1235000000000002,-1.2809,0.15739999999999976,2.5,-1.0,0,0,0,2,1
36,2021-22,Round 5,Connacht,Ulster,36,11,Aviva Stadium,2021-10-23,0.0,23.75,23.75,7.0,0,18.75,31.25,12.5,8.0,0,0.2774999999999998,4.9849000000000006,-4.707400000000001,-18.75,-1.0,0,0,0,25,1
37,2021-22,Round 5,Zebre,Edinburgh,10,27,Stadio Sergio Lanfranchi,2021-10-23,-23.0,10.5,33.5,7.0,0,2.5,22.5,20.0,7.0,0,-7.848700000000001,-0.4579000000000002,-7.3908000000000005,-25.5,0.0,0,0,0,-17,0
38,2021-22,Round 6,Connacht,Ospreys,46,18,Galway Sportsgrounds,2021-11-26,5.0,26.2,21.2,30.0,0,1.0,21.0,20.0,30.0,0,2.64824,0.1284599999999998,2.51978,4.0,0.0,0,0,0,28,1
39,2021-22,Round 6,Benetton,Glasgow,19,18,Stadio Comunale di Monigo,2021-11-27,-4.8,22.4,27.2,30.0,0,0.8,21.8,21.0,30.0,0,-2.64618,-0.6232000000000002,-2.02298,-5.6,0.0,0,0,0,1,1
40,2021-22,Round 6,Dragons,Edinburgh,14,30,Rodney Parade,2021-11-27,-1.6,20.6,22.2,30.0,0,5.4,23.4,18.0,30.0,0,-0.8651599999999999,1.10302,-1.9681799999999998,-7.0,0.0,0,0,0,-16,0
41,2021-22,Round 6,Leinster,Ulster,10,20,RDS Arena,2021-11-27,23.2,32.4,9.2,30.0,0,10.0,27.2,17.2,30.0,0,7.7376,2.6141600000000005,5.123439999999999,13.2,0.0,0,0,0,-10,0
42,2021-22,Round 7,Leinster,Connacht,47,19,RDS Arena,2021-12-03,15.6,28.2,12.6,6.0,0,13.0,31.2,18.2,7.0,0,5.625256,4.596262,1.028994,2.5999999999999996,-1.0,0,0,0,28,1
43,2021-22,Round 5,Sharks,Bulls,30,16,Kings Park Stadium,2021-12-03,-7.0,21.25,28.25,30.0,1,-13.0,12.25,25.25,30.0,1,-0.0474999999999998,-1.9771,1.9296000000000002,6.0,0.0,0,0,0,14,1
44,2021-22,Round 7,Edinburgh,Benetton,24,10,Edinburgh Rugby Stadium,2021-12-03,7.8,24.2,16.4,6.0,0,-5.4,21.8,27.2,6.0,0,3.106202,-2.9438820000000003,6.050084,13.2,0.0,0,0,0,14,1
45,2021-22,Round 7,Ospreys,Ulster,19,13,Liberty Stadium,2021-12-04,-5.4,19.2,24.6,8.0,0,10.8,24.2,13.4,7.0,0,-1.8195620000000008,4.726504,-6.5460660000000015,-16.200000000000003,1.0,0,0,0,6,1
46,2021-22,Round 5,Stormers,Lions,19,37,Cape Town Stadium,2021-12-04,-1.5,20.0,21.5,30.0,1,-7.75,17.5,25.25,30.0,1,2.1359000000000004,-0.3999000000000001,2.5358000000000005,6.25,0.0,0,0,0,-18,0
47,2021-22,Round 7,Glasgow,Dragons,33,14,Scotstoun Stadium,2021-12-04,1.8,19.6,17.8,7.0,0,-4.0,18.8,22.8,7.0,0,-0.3254980000000002,-2.868342,2.542844,5.8,0.0,0,0,0,19,1
